GeneID	ExpectedReadCount	TPM
Gene01102	0	0
Gene01103	294.37	40.43
Gene01104	0	0
Gene01105	277	27.21
Gene01106	0	0
Gene01107	37	1.26
Gene01108	321	54.77
Gene01109	195	21.33
Gene01110	0	0
Gene01111	485	33.49
Gene01112	111	12.23
Gene01113	31	7.23
Gene01114	104	25.93
Gene01115	104	4.61
Gene01116	204	17.04
Gene01117	0	0
Gene01118	96	7.15
Gene01119	236	11.72
Gene01120	396	16.38
Gene01121	10	1.22
Gene01122	13	2.71
Gene01123	758	22.07
Gene01124	152	23.04
Gene01125	444	19.82
Gene01126	0	0
Gene01127	116	8.19
Gene01128	112	4.87
Gene01129	1	0.43
Gene01130	128	48.39
Gene01131	0	0
Gene01132	0	0
Gene01133	0	0
Gene01134	2	1.75
Gene01135	29	7.77
Gene01136	0	0
Gene01137	1	0.04
Gene01138	70	25.03
Gene01139	235	39.51
Gene01140	1169	606.88
Gene01141	181	7.55
Gene01142	1159	44
Gene01143	1063	205.29
Gene01144	46	49.07
Gene01145	0	0
Gene01146	13	1.12
Gene01147	287	17.14
Gene01148	1252	74.36
Gene01149	34	5.82
Gene01150	395	39.42
Gene01151	54	10.02
Gene01152	0	0
Gene01153	3	0.85
Gene01154	1076	60.08
Gene01155	25	3.1
Gene01156	59	25.32
Gene01157	183	9.07
Gene01158	1261	80.8
Gene01159	279	9.35
Gene01160	106	9.05
Gene01161	0	0
Gene01162	0	0
Gene01163	0	0
Gene01164	0	0
Gene01165	53	8.94
Gene01166	8	1.62
Gene01167	221	14.16
Gene01168	86	3.97
Gene01169	217.44	12.68
Gene01170	86	7.99
Gene01171	27	3.2
Gene01172	0	0
Gene01173	19	1.51
Gene01174	6	6.4
Gene01175	182	39.4
Gene01176	0	0
Gene01177	28	9.18
Gene01178	204	29.81
Gene01179	120	5.53
Gene01180	0	0
Gene01181	0	0
Gene01182	334	21.21
Gene01183	2	0.44
Gene01184	59	11.51
Gene01185	0	0
Gene01186	167	13.73
Gene01187	56	7.51
Gene01188	126	20.23
Gene01189	701	22.34
Gene01190	72	22.24
