GeneID	ExpectedReadCount	TPM
Gene01125	407	16.3
Gene01126	0	0
Gene01127	85	5.37
Gene01128	120	4.68
Gene01129	1	0.37
Gene01130	230	75.65
Gene01131	0	0
Gene01132	0	0
Gene01133	0	0
Gene01134	6	4.6
Gene01135	9	2.11
Gene01136	0	0
Gene01137	2	0.07
Gene01138	37	11.52
Gene01139	201	29.87
Gene01140	1079	486.24
Gene01141	118	4.42
Gene01142	1888	64.37
Gene01143	952	162.08
Gene01144	33	31.13
Gene01145	0	0
Gene01146	9	0.69
Gene01147	369	19.73
Gene01148	821	43.68
Gene01149	20	3.02
Gene01150	376	33.44
Gene01151	45	7.37
Gene01152	1	0.18
Gene01153	2	0.5
Gene01154	1218	60.95
Gene01155	20	2.2
Gene01156	41	15.28
Gene01157	226	10.05
Gene01158	1327	76.11
Gene01159	251	7.56
Gene01160	70	5.34
Gene01161	0	0
Gene01162	0	0
Gene01163	0	0
Gene01164	0	0
Gene01165	51	7.6
Gene01166	13	2.32
Gene01167	232	13.31
Gene01168	48	1.99
Gene01169	165	8.62
Gene01170	113	9.37
Gene01171	31	3.27
Gene01172	0	0
Gene01173	19	1.35
Gene01174	10	9.43
Gene01175	165	31.41
Gene01176	0	0
Gene01177	28	8.01
Gene01178	229	29.66
Gene01179	203	8.39
Gene01180	0	0
Gene01181	0	0
Gene01182	346	19.67
Gene01183	0	0
Gene01184	60	10.32
Gene01185	1	0.05
Gene01186	173	12.7
Gene01187	32	3.81
Gene01188	149	21.16
Gene01189	483	13.83
