GeneID	ExpectedReadCount	TPM
Gene00867	0	0
Gene00868	0	0
Gene00869	18	4.49
Gene00870	74	14.17
Gene00871	127	16.82
Gene00872	151	13.32
Gene00873	113	31.02
Gene00874	0	0
Gene00875	0	0
Gene00876	9	2.64
Gene00877	65	25.05
Gene00878	182	35.64
Gene00879	53	4.17
Gene00880	0	0
Gene00881	1097	54.5
Gene00882	278	19.8
Gene00883	0	0
Gene00884	626	39.92
Gene00885	128	30.37
Gene00886	3	0.17
Gene00887	488	68.43
Gene00888	1930	130.5
Gene00889	704	45.52
Gene00890	1	0.29
Gene00891	10	1
Gene00892	27	32.15
Gene00893	373	24.34
Gene00894	119	17.05
Gene00895	0	0
Gene00896	36	32.62
Gene00897	4	1.74
Gene00898	4	0.36
Gene00899	41	1.33
Gene00900	0	0
Gene00901	2	1.13
Gene00902	214	18.63
Gene00903	97	11.07
Gene00904	25	38.77
Gene00905	119	8.9
Gene00906	0	0
Gene00907	0	0
Gene00908	82	34.25
Gene00909	0	0
Gene00910	0	0
Gene00911	1	1.38
Gene00912	21601	1245.91
Gene00913	373.14	12.87
Gene00914	14.86	3.2
Gene00915	105	19.68
Gene00916	17	3.28
Gene00917	0	0
Gene00918	185	27.57
Gene00919	27	8.79
Gene00920	5	22.22
Gene00921	8	1.17
Gene00922	804	146.83
Gene00923	4	0.89
Gene00924	3	73.44
Gene00925	341	19.41
Gene00926	15	4.49
Gene00927	6	1.51
Gene00928	5798	1347.04
Gene00929	18	10.06
Gene00930	74	14.46
Gene00931	12	1.06
Gene00932	3	0.59
Gene00933	43	4
Gene00934	249	24.71
Gene00935	57	10.22
Gene00936	17	5.4
Gene00937	0	0
Gene00938	4	0.53
Gene00939	30	2.63
Gene00940	47	2.82
Gene00941	195	39.88
Gene00942	2	0.44
Gene00943	71	5.19
Gene00944	0	0
Gene00945	1	1.46
Gene00946	410	19.61
Gene00947	47	11.94
Gene00948	411	23.28
Gene00949	26	5.16
Gene00950	8	0.8
Gene00951	0	0
Gene00952	7	0.97
Gene00953	8	1.68
Gene00954	8	1.68
Gene00955	0	0
Gene00956	0	0
Gene00957	116.32	7.58
Gene00958	959	53.43
Gene00959	58	10.79
Gene00960	2	4.73
Gene00961	332.57	26
Gene00962	364	23.25
Gene00963	44	5.59
Gene00964	7	0.31
Gene00965	0	0
Gene00966	3	1.48
Gene00967	18	8.3
Gene00968	416	220.55
Gene00969	73	30.18
Gene00970	37	10.52
Gene00971	4	0.21
Gene00972	10	2.01
Gene00973	289	37.76
Gene00974	0	0
Gene00975	9	4.4
Gene00976	229	40.59
Gene00977	9	1.64
Gene00978	16	3.88
Gene00979	5	0.18
Gene00980	131	31.85
Gene00981	4	4.89
Gene00982	0	0
Gene00983	21	8.77
Gene00984	241	87.79
Gene00985	176	15.68
Gene00986	12	1.3
Gene00987	0	0
Gene00988	0	0
Gene00989	801.92	2468.45
Gene00990	6	0.91
Gene00991	55	30.96
Gene00992	39	9.57
Gene00993	182	12.02
Gene00994	27	1.54
Gene00995	363	34.97
Gene00996	313	78.77
Gene00997	22	5.7
Gene00998	0	0
Gene00999	1	0.53
Gene01000	148	16.41
Gene01001	38	13.72
Gene01002	111	10.44
Gene01003	128	12.18
Gene01004	6.13	2.4
Gene01005	9.87	1.55
Gene01006	237	48.72
Gene01007	18	1
Gene01008	5	34.93
Gene01009	38	7.23
Gene01010	0	0
Gene01011	1	0.09
Gene01012	56	37.06
Gene01013	5	4.67
Gene01014	11	0.55
Gene01015	2	3.36
Gene01016	0	0
Gene01017	38	1.59
Gene01018	17	0.85
Gene01019	74	7.98
Gene01020	44	3.86
Gene01021	0	0
Gene01022	295	16.41
Gene01023	305	18.76
Gene01024	0	0
Gene01025	0	0
Gene01026	83.52	6.4
Gene01027	0	0
Gene01028	0	0
Gene01029	0	0
Gene01030	174	13.76
Gene01031	126	15.58
Gene01032	1	45.76
Gene01033	65	33.17
Gene01034	0	0
Gene01035	70.03	3.55
Gene01036	8.23	2.13
Gene01037	58	8.51
Gene01038	109	10.86
Gene01039	18	1.36
Gene01040	290	19.34
Gene01041	1	0.06
Gene01042	235	26.25
Gene01043	19	0.89
Gene01044	6	5.73
Gene01045	123	15.96
Gene01046	13	4.49
Gene01047	15	7.24
Gene01048	152	74.74
